id,source,name,description,host_id,host_name,host_since,host_location,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,neighborhood,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,beds,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating
34252414,previous scrape,Home in Den Haag · ★5.0 · 4 bedrooms · 4 beds · 3.5 baths,,17929590,Lieke,2014-07-10,"The Hague, Netherlands",N/A,60%,f,1,,Wijk 04 Benoordenhout,52.09854,4.31241,Entire home,Entire home/apt,6,4,,5,15,9,5.0
34312629,city scrape,Rental unit in Den Haag · ★4.79 · 1 bedroom · 2 beds · 1 bath,,4126226,Rehan,2012-11-12,"The Hague, Netherlands",100%,25%,f,1,,Wijk 29 Schildersbuurt,52.07269,4.29342,Entire rental unit,Entire home/apt,2,2,$65.00,3,1125,34,4.79
34393037,city scrape,Home in Den Haag · ★4.88 · 2 bedrooms · 4 beds · 1 private bath,,32275419,Tjitske & Sergio,2015-04-30,"The Hague, Netherlands",100%,100%,t,1,,Wijk 03 Westbroekpark en Duttendel,52.10922,4.30392,Private room in home,Private room,4,4,$185.00,2,7,67,4.88
34474996,city scrape,Townhouse in Den Haag · ★4.83 · Studio · 2 beds · 1.5 baths,,124098478,Karin,2017-04-03,"The Hague, Netherlands",100%,100%,t,1,,Wijk 28 Centrum,52.08519,4.31146,Entire townhouse,Entire home/apt,3,2,$150.00,2,14,23,4.83
34795697,city scrape,Villa in Den Haag · ★4.98 · 1 bedroom · 1 bed · 1 private bath,,100127374,V&D,2016-10-18,"The Hague, Netherlands",100%,100%,t,2,,Wijk 07 Scheveningen,52.10829,4.28175,Private room in villa,Private room,2,1,$129.00,2,120,125,4.98
34796345,city scrape,Villa in Den Haag · ★4.97 · 1 bedroom · 1 bed · 1.5 baths,,100127374,V&D,2016-10-18,"The Hague, Netherlands",100%,100%,t,2,,Wijk 07 Scheveningen,52.10797,4.28295,Private room in villa,Private room,2,1,$115.00,2,31,151,4.97
34856034,city scrape,Rental unit in Den Haag · ★4.91 · 2 bedrooms · 2 beds · 2 baths,,7490376,Alexandra,2013-07-15,"The Hague, Netherlands",100%,100%,t,2,,Wijk 22 Zeeheldenkwartier,52.08183,4.29873,Entire rental unit,Entire home/apt,5,2,$141.00,2,1125,93,4.91
34862093,city scrape,Condo in Den Haag · ★4.69 · 2 bedrooms · 2 beds · 1 bath,,262820288,Danielle,2019-05-19,"The Hague, Netherlands",75%,94%,f,1,,Wijk 20 Valkenboskwartier,52.07246,4.274,Entire condo,Entire home/apt,2,2,$160.00,2,100,39,4.69
35051892,city scrape,Rental unit in Den Haag · ★4.90 · 1 bedroom · 2 beds · 1 bath,,4410499,Johann,2012-12-15,"The Hague, Netherlands",100%,95%,t,4,,Wijk 27 Stationsbuurt,52.07026,4.31756,Entire rental unit,Entire home/apt,2,2,$90.00,4,1125,21,4.9
35227230,city scrape,Rental unit in Den Haag · ★4.71 · 1 bedroom · 3 beds · 1 bath,,153843271,Family,2017-10-09,"The Hague, Netherlands",100%,100%,f,7,,Wijk 02 Belgisch Park,52.10922,4.28959,Entire rental unit,Entire home/apt,4,3,$209.00,2,1125,114,4.71
35228436,city scrape,Rental unit in The Hague · ★4.32 · Studio · 1 bed · 1 bath,,9165668,Robert,2013-10-01,"The Hague, Netherlands",96%,81%,f,80,,Wijk 07 Scheveningen,52.11081,4.28348,Entire rental unit,Entire home/apt,2,1,$144.00,1,1125,25,4.32
35282757,previous scrape,Rental unit in Den Haag · ★4.94 · 2 bedrooms · 2 beds · 1 bath,,265631323,Christiaan,2019-06-01,"The Hague, Netherlands",N/A,71%,f,1,,Wijk 07 Scheveningen,52.10384,4.26957,Entire rental unit,Entire home/apt,4,2,,5,1125,18,4.94
35379554,city scrape,Home in The Hague · ★4.61 · 2 bedrooms · 4 beds · 2 baths,,128900110,Hilly,2017-05-04,"The Hague, Netherlands",0%,0%,f,2,,Wijk 15 Kijkduin en Ockenburgh,52.05929,4.21209,Entire home,Entire home/apt,5,4,$200.00,2,1125,28,4.61
35476343,previous scrape,Home in Den Haag · ★5.0 · 2 bedrooms · 1 bed · 1 bath,,21454850,Thijs,2014-09-17,"The Hague, Netherlands",N/A,40%,f,1,,Wijk 07 Scheveningen,52.10757,4.28302,Entire home,Entire home/apt,4,1,,5,1125,12,5.0
35489115,city scrape,Home in Den Haag · ★5.0 · 4 bedrooms · 4 beds · 1 bath,,85901893,Roland,2016-07-25,"The Hague, Netherlands",100%,100%,f,1,,Wijk 13 Vogelwijk,52.08028,4.25877,Entire home,Entire home/apt,7,4,$259.00,14,30,8,5.0
35500211,city scrape,Home in Den Haag · 3 bedrooms · 3 beds · 2 baths,,5319926,Joanne,2013-03-04,"The Hague, Netherlands",N/A,67%,f,1,,Wijk 19 Vruchtenbuurt,52.0686,4.25931,Entire home,Entire home/apt,4,3,$257.00,5,30,1,5.0
35756441,city scrape,Townhouse in Den Haag · ★4.75 · 3 bedrooms · 3 beds · 1 bath,,5862025,Mirjam,2013-04-10,"The Hague, Netherlands",N/A,75%,f,1,,Wijk 31 Rustenburg en Oostbroek,52.06317,4.27781,Entire townhouse,Entire home/apt,4,3,$130.00,3,16,8,4.75
35939576,city scrape,Rental unit in Den Haag · ★4.35 · 1 bedroom · 2 beds · 1 bath,,14998655,Leo,2014-05-02,"The Hague, Netherlands",100%,100%,f,4,,Wijk 07 Scheveningen,52.10413,4.2788,Entire rental unit,Entire home/apt,4,2,$99.00,2,60,65,4.35
35940756,city scrape,Rental unit in The Hague · ★4.89 · 1 bedroom · 2 beds · 1 shared bath,,58846614,Hannah,2016-02-15,"The Hague, Netherlands",100%,91%,t,3,,Wijk 26 Bezuidenhout,52.08545,4.33621,Private room in rental unit,Private room,2,2,$58.00,2,1125,85,4.89
36019676,city scrape,Rental unit in Den Haag · ★4.89 · 1 bedroom · 2 beds · 1 bath,,224798794,Kees,2018-11-08,"The Hague, Netherlands",100%,100%,t,1,,Wijk 13 Vogelwijk,52.08523,4.26408,Entire rental unit,Entire home/apt,2,2,$100.00,3,1125,99,4.89
36023173,city scrape,Serviced apartment in The Hague · ★4.75 · 1 bedroom · 2 beds · 1 bath,,261959318,Royal Palace Serviced Apartments,2019-05-15,,100%,100%,f,3,,Wijk 28 Centrum,52.07168,4.30025,Private room in serviced apartment,Private room,4,2,$140.00,1,1125,8,4.75
36023452,city scrape,Serviced apartment in The Hague · 1 bedroom · 2 beds · 1 bath,,261959318,Royal Palace Serviced Apartments,2019-05-15,,100%,100%,f,3,,Wijk 29 Schildersbuurt,52.06977,4.30187,Room in serviced apartment,Hotel room,2,2,$125.00,1,1125,2,5.0
36023548,city scrape,Serviced apartment in The Hague · ★4.40 · 2 bedrooms · 4 beds · 1 bath,,261959318,Royal Palace Serviced Apartments,2019-05-15,,100%,100%,f,3,,Wijk 29 Schildersbuurt,52.0707,4.3011,Room in serviced apartment,Hotel room,4,4,$165.00,1,1125,5,4.4
